Lines,Lon,VehicleNumber,Time,Lat,Brigade,Zespol,Slupek
213,21.2061991,1001,2024-01-18 17:44:55,52.1828786,4,2179,01
213,21.1319778,1001,2024-01-18 18:02:00,52.2143143,4,2188,03
219,21.102326,1004,2024-01-18 17:54:41,52.222786,3,2148,04
219,21.102316,1004,2024-01-18 17:55:41,52.222786,3,2148,04
219,21.102316,1004,2024-01-18 17:56:42,52.222786,3,2148,04
219,21.1023141,1004,2024-01-18 18:06:05,52.2228118,3,2148,04
219,21.1338666,1004,2024-01-18 18:24:11,52.2142445,3,2188,04
219,21.1580505,1004,2024-01-18 18:28:12,52.2130465,3,2037,05
219,21.1616378,1004,2024-01-18 18:29:06,52.209434,3,2038,03
213,21.090608,1007,2024-01-18 17:55:54,52.221589,2,2313,01
L-8,20.9929606,10075,2024-01-18 17:59:57,52.4021216,02,1897,01
311,21.102671,1010,2024-01-18 17:48:01,52.2223851,502,2148,05
311,21.089745,1010,2024-01-18 18:05:57,52.2310906,502,2417,01
219,21.1490953,1011,2024-01-18 18:02:59,52.190489,1,2402,02
219,21.1652941,1011,2024-01-18 18:08:58,52.2052865,1,2039,10
219,21.131963,1011,2024-01-18 18:15:03,52.2143035,1,2188,03
213,21.1079233,1012,2024-01-18 18:33:18,52.21246,5,2385,01
208,20.975594,1021,2024-01-18 17:59:58,52.210285,06,4005,10
263,21.0337826,1027,2024-01-18 18:28:14,52.1485416,4,3134,03
108,21.0339132,1030,2024-01-18 18:00:00,52.2266672,5,7070,01
108,21.042967,1030,2024-01-18 18:38:13,52.17564,5,3039,04
263,21.079981,1037,2024-01-18 17:42:53,52.157829,06,3391,02
263,21.033802,1037,2024-01-18 17:57:57,52.148533,06,3134,03
263,21.0338,1037,2024-01-18 17:59:03,52.148541,06,3134,03
263,21.0337981,1037,2024-01-18 18:01:05,52.1485449,06,3134,03
263,21.0337814,1037,2024-01-18 18:02:05,52.1485344,06,3134,03
263,21.0337705,1037,2024-01-18 18:04:09,52.1485417,06,3134,03
263,21.033779,1037,2024-01-18 18:06:02,52.148544,06,3134,03
263,21.033773,1037,2024-01-18 18:07:10,52.148544,06,3134,03
263,21.0337859,1037,2024-01-18 18:10:08,52.1485484,06,3134,03
208,20.975274,1038,2024-01-18 17:48:55,52.2116642,04,4005,12
208,20.9493975,1038,2024-01-18 18:02:05,52.2028226,04,4312,01
208,20.9753047,1038,2024-01-18 18:20:08,52.2116762,04,4005,12
208,20.9563535,1038,2024-01-18 18:34:06,52.2020437,04,4311,02
107,21.085145,1040,2024-01-18 18:16:50,52.193348,8,3079,04
107,21.085145,1040,2024-01-18 18:17:51,52.193348,8,3079,04
107,21.085148,1040,2024-01-18 18:19:11,52.193333,8,3079,04
