Zespol,Slupek,Lines,RealTime,TimeTable
1002,06,135,2024-01-18 12:26:56,12:23:00
1002,01,138,2024-01-18 12:09:34,12:08:00
1005,11,135,2024-01-18 12:09:46,12:15:00
1005,11,135,2024-01-18 12:13:51,12:15:00
1005,09,162,2024-01-18 12:08:45,12:15:00
1005,09,162,2024-01-18 12:10:45,12:15:00
1005,09,162,2024-01-18 12:11:50,12:15:00
1005,09,162,2024-01-18 12:25:00,12:30:00
1005,09,162,2024-01-18 12:32:56,12:30:00
1005,09,162,2024-01-18 12:41:56,12:45:00
1005,07,166,2024-01-18 12:18:56,12:11:00
1005,18,166,2024-01-18 11:47:34,11:45:00
1005,18,166,2024-01-18 11:48:43,11:45:00
1005,18,166,2024-01-18 11:49:36,11:45:00
1005,18,166,2024-01-18 11:50:31,11:45:00
1005,18,166,2024-01-18 11:51:39,11:45:00
1005,08,212,2024-01-18 12:27:01,12:26:00
1005,11,212,2024-01-18 12:18:55,12:25:00
1005,11,212,2024-01-18 12:19:51,12:25:00
1005,11,212,2024-01-18 12:21:54,12:25:00
1005,11,212,2024-01-18 12:23:56,12:25:00
1005,11,212,2024-01-18 12:37:01,12:45:00
1005,11,212,2024-01-18 12:41:57,12:45:00
1005,11,212,2024-01-18 11:58:41,12:05:00
1005,11,212,2024-01-18 11:59:36,12:05:00
1005,11,212,2024-01-18 12:00:41,12:05:00
1005,11,212,2024-01-18 12:01:36,12:05:00
1005,18,338,2024-01-18 12:30:42,12:32:00
1005,18,338,2024-01-18 12:34:02,12:32:00
1005,18,338,2024-01-18 12:34:42,12:32:00
1005,18,338,2024-01-18 12:36:02,12:32:00
1005,18,338,2024-01-18 12:36:42,12:32:00
1006,10,170,2024-01-18 12:10:43,12:07:00
1013,09,516,2024-01-18 12:45:07,12:42:00
1016,01,211,2024-01-18 12:30:56,12:26:00
1017,01,186,2024-01-18 12:13:51,12:12:00
1017,01,186,2024-01-18 12:27:04,12:24:00
1017,01,509,2024-01-18 12:06:37,12:04:00
1017,01,509,2024-01-18 12:06:37,12:14:00
1017,02,509,2024-01-18 12:32:02,12:29:00
1017,02,509,2024-01-18 12:32:02,12:39:00
1018,02,186,2024-01-18 12:36:07,12:28:00
1018,02,186,2024-01-18 12:36:07,12:40:00
1021,01,152,2024-01-18 12:34:03,12:33:00
1022,01,511,2024-01-18 12:25:02,12:23:00
1051,01,170,2024-01-18 12:15:52,12:20:00
1055,04,156,2024-01-18 12:15:47,12:21:00
1055,01,190,2024-01-18 12:17:53,12:16:00
1055,01,190,2024-01-18 12:17:53,12:26:00
1057,02,738,2024-01-18 12:25:00,12:24:00
1058,02,190,2024-01-18 12:21:52,12:14:00
1058,02,190,2024-01-18 12:21:52,12:24:00
1058,01,262,2024-01-18 12:27:02,12:24:00
1064,03,262,2024-01-18 12:13:47,12:18:00
1064,03,262,2024-01-18 12:14:58,12:18:00
1064,03,262,2024-01-18 11:45:24,11:48:00
1064,03,262,2024-01-18 12:40:05,12:48:00
1064,03,262,2024-01-18 12:41:56,12:48:00
1064,03,262,2024-01-18 12:45:06,12:48:00
1066,01,162,2024-01-18 12:19:00,12:18:00
1075,02,212,2024-01-18 11:50:30,11:48:00
1077,02,212,2024-01-18 11:52:34,11:48:00
1083,01,114,2024-01-18 12:15:51,12:13:00
1085,13,104,2024-01-18 12:19:55,12:25:00
