Zespol,Slupek,Lines,RealTime,TimeTable
1002,01,138,2024-01-18 18:24:00,18:24:00
1002,02,169,2024-01-18 17:52:57,17:53:00
1003,01,509,2024-01-18 18:17:10,18:17:00
1005,18,166,2024-01-18 18:24:06,18:25:00
1005,11,212,2024-01-18 18:04:06,18:05:00
1013,14,211,2024-01-18 18:02:02,18:03:00
1013,14,211,2024-01-18 18:02:56,18:03:00
1015,02,326,2024-01-18 18:33:15,18:33:00
1016,01,326,2024-01-18 18:32:07,18:33:00
1017,02,518,2024-01-18 18:40:12,18:40:00
1021,01,152,2024-01-18 18:32:08,18:32:00
1025,02,511,2024-01-18 18:07:58,18:07:00
1034,01,138,2024-01-18 18:19:10,18:19:00
1066,06,162,2024-01-18 18:08:59,18:08:00
1083,02,145,2024-01-18 17:45:55,17:46:00
1085,13,104,2024-01-18 17:47:55,17:48:00
1085,13,104,2024-01-18 18:32:10,18:33:00
1085,13,204,2024-01-18 18:40:07,18:40:00
1095,05,326,2024-01-18 18:28:12,18:28:00
1097,04,126,2024-01-18 17:52:45,17:52:00
1099,02,176,2024-01-18 18:22:09,18:23:00
1100,02,176,2024-01-18 17:58:59,17:59:00
1105,01,152,2024-01-18 17:42:52,17:42:00
1108,02,152,2024-01-18 18:08:55,18:09:00
1130,02,326,2024-01-18 18:19:10,18:20:00
1140,09,140,2024-01-18 18:40:16,18:40:00
1140,09,140,2024-01-18 18:10:06,18:10:00
1143,02,500,2024-01-18 17:49:56,17:50:00
1146,03,527,2024-01-18 18:00:00,18:00:00
1152,01,114,2024-01-18 18:38:13,18:38:00
1152,08,199,2024-01-18 18:31:11,18:31:00
1152,08,199,2024-01-18 17:50:01,17:51:00
1152,08,199,2024-01-18 17:50:55,17:51:00
1152,08,199,2024-01-18 18:11:05,18:11:00
1152,04,500,2024-01-18 17:55:44,17:55:00
1152,04,500,2024-01-18 18:24:12,18:25:00
1163,02,190,2024-01-18 17:52:55,17:53:00
1168,04,104,2024-01-18 17:55:00,17:55:00
1179,02,120,2024-01-18 18:05:05,18:05:00
1179,01,527,2024-01-18 18:05:56,18:05:00
1183,01,527,2024-01-18 17:59:03,17:59:00
1183,01,527,2024-01-18 18:33:13,18:34:00
1195,04,133,2024-01-18 17:44:56,17:44:00
1195,01,186,2024-01-18 18:02:59,18:02:00
1226,01,314,2024-01-18 17:43:47,17:44:00
1231,01,102,2024-01-18 18:01:02,18:02:00
1231,07,102,2024-01-18 17:47:57,17:47:00
1231,03,125,2024-01-18 17:42:50,17:43:00
1232,04,102,2024-01-18 17:50:01,17:50:00
1234,01,190,2024-01-18 18:35:05,18:36:00
1234,01,190,2024-01-18 18:36:05,18:36:00
1235,02,112,2024-01-18 18:21:14,18:22:00
1239,01,240,2024-01-18 17:52:51,17:53:00
1250,02,211,2024-01-18 18:15:03,18:16:00
1253,09,186,2024-01-18 18:20:08,18:20:00
1253,02,211,2024-01-18 18:13:05,18:13:00
1253,07,516,2024-01-18 18:30:14,18:31:00
1256,03,314,2024-01-18 18:21:10,18:22:00
1260,03,204,2024-01-18 18:30:07,18:31:00
1268,01,705,2024-01-18 18:33:14,18:34:00
1277,03,516,2024-01-18 18:14:10,18:15:00
1280,04,160,2024-01-18 18:09:51,18:10:00
1319,01,212,2024-01-18 18:19:11,18:19:00
1358,02,527,2024-01-18 18:20:01,18:21:00
1359,01,527,2024-01-18 18:31:14,18:31:00
1370,01,731,2024-01-18 17:44:59,17:44:00
1378,02,731,2024-01-18 17:42:51,17:42:00
1406,01,211,2024-01-18 18:35:15,18:35:00
1477,02,512,2024-01-18 18:13:04,18:13:00
1482,01,170,2024-01-18 18:09:01,18:10:00
1519,01,226,2024-01-18 18:09:01,18:09:00
1520,02,527,2024-01-18 17:47:48,17:48:00
1557,02,120,2024-01-18 18:08:01,18:08:00
1559,02,234,2024-01-18 18:29:10,18:29:00
1575,01,262,2024-01-18 18:07:07,18:08:00
1897,01,L-8,2024-01-18 17:59:57,18:00:00
1944,01,211,2024-01-18 18:32:08,18:33:00
1947,03,900,2024-01-18 18:21:14,18:21:00
2010,01,143,2024-01-18 18:05:43,18:06:00
2010,02,702,2024-01-18 17:54:58,17:54:00
2012,02,702,2024-01-18 17:57:57,17:57:00
2015,01,142,2024-01-18 18:33:15,18:34:00
2015,06,521,2024-01-18 17:55:01,17:55:00
2018,01,521,2024-01-18 17:52:58,17:53:00
2020,02,125,2024-01-18 17:43:49,17:44:00
2020,01,502,2024-01-18 18:29:09,18:30:00
2025,01,525,2024-01-18 18:09:01,18:10:00
2026,01,525,2024-01-18 18:10:08,18:11:00
2028,01,125,2024-01-18 18:02:05,18:03:00
2031,02,147,2024-01-18 18:02:01,18:03:00
2031,01,525,2024-01-18 18:36:11,18:36:00
2032,02,125,2024-01-18 18:28:05,18:29:00
2032,02,125,2024-01-18 18:29:06,18:29:00
2032,01,525,2024-01-18 18:13:05,18:14:00
2034,01,119,2024-01-18 18:01:04,18:02:00
2037,01,521,2024-01-18 18:32:11,18:32:00
2038,04,119,2024-01-18 18:33:11,18:33:00
2045,01,521,2024-01-18 17:43:50,17:43:00
2059,04,402,2024-01-18 18:12:56,18:13:00
2062,01,402,2024-01-18 18:33:17,18:33:00
2064,01,115,2024-01-18 17:42:50,17:43:00
2064,04,402,2024-01-18 18:30:12,18:31:00
2064,04,402,2024-01-18 18:30:52,18:31:00
2064,04,402,2024-01-18 18:31:53,18:31:00
2064,04,402,2024-01-18 17:54:52,17:55:00
2064,04,402,2024-01-18 17:55:56,17:55:00
2064,04,402,2024-01-18 18:04:05,18:05:00
2064,04,402,2024-01-18 18:04:51,18:05:00
2064,04,402,2024-01-18 18:05:53,18:05:00
2083,01,143,2024-01-18 17:47:43,17:47:00
2083,02,153,2024-01-18 18:40:14,18:41:00
2088,01,143,2024-01-18 17:45:42,17:45:00
2090,02,153,2024-01-18 18:32:10,18:33:00
2097,03,123,2024-01-18 18:21:10,18:21:00
2100,04,182,2024-01-18 18:10:09,18:10:00
2101,02,182,2024-01-18 18:31:13,18:32:00
