Lines,Lon,VehicleNumber,Time,Lat,Brigade,Zespol,Slupek
213,21.102309,1000,2024-01-18 12:07:48,52.2228011,1,2148,04
213,21.1887935,1001,2024-01-18 12:13:44,52.1498486,4,2057,03
213,21.2326716,1001,2024-01-18 12:38:05,52.1763636,4,2376,02
219,21.1412788,1003,2024-01-18 12:05:41,52.1902285,2,2194,04
219,21.1608981,1004,2024-01-18 12:41:59,52.1852198,3,2422,02
213,21.188808,1006,2024-01-18 11:45:30,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:47:31,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:48:31,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:49:32,52.149863,3,2057,03
213,21.188808,1006,2024-01-18 11:50:32,52.149863,3,2057,03
213,21.1079208,1006,2024-01-18 12:31:59,52.2124391,3,2385,01
213,21.1023415,1007,2024-01-18 12:19:47,52.222805,2,2148,04
L-8,20.9315941,10071,2024-01-18 12:37:01,52.3942426,1,1302,01
L31,21.0346306,10072,2024-01-18 12:36:59,52.4202441,1,1513,01
L31,21.0346081,10072,2024-01-18 12:38:06,52.4202381,1,1513,01
L31,21.0346228,10072,2024-01-18 12:39:02,52.4202436,1,1513,01
L31,21.0346308,10072,2024-01-18 12:42:02,52.4202256,1,1513,01
L49,20.941617,10073,2024-01-18 12:32:58,52.3681523,1,1479,02
311,21.0973598,1008,2024-01-18 11:54:41,52.2212126,501,2269,01
311,21.0897418,1008,2024-01-18 12:06:34,52.2311065,501,2417,01
311,21.0734295,1008,2024-01-18 12:32:06,52.2545143,501,2477,02
311,21.0734216,1008,2024-01-18 12:33:01,52.2545098,501,2477,02
311,21.0734003,1008,2024-01-18 12:35:01,52.2545138,501,2477,02
311,21.0734163,1008,2024-01-18 12:36:06,52.2545096,501,2477,02
311,21.0734285,1008,2024-01-18 12:38:11,52.2545095,501,2477,02
311,21.086199,1010,2024-01-18 11:56:38,52.2355516,502,2101,03
311,21.0942493,1010,2024-01-18 12:34:01,52.2280801,502,2149,02
311,21.0942205,1010,2024-01-18 12:36:06,52.2312306,502,2418,01
213,21.2201483,1012,2024-01-18 12:34:56,52.1573516,5,2164,02
311,21.0734153,1013,2024-01-18 11:58:40,52.2545118,503,2477,02
311,21.0734066,1013,2024-01-18 12:01:35,52.2544896,503,2477,02
311,21.073415,1013,2024-01-18 12:04:45,52.2544956,503,2477,02
311,21.073397,1013,2024-01-18 12:06:40,52.2544958,503,2477,02
311,21.0734028,1013,2024-01-18 12:07:45,52.2545103,503,2477,02
311,21.0734155,1013,2024-01-18 12:08:45,52.2545095,503,2477,02
